symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
APCL,NSE,APCL.NS,Anjani Portland Cem,APCL|Anjani Portland Cem|Anjani Portland Cem Limited,,INE071F01012,20453,IIFL_SCRIPMASTER
AHCL,NSE,AHCL.NS,Anlon Healthcare,AHCL|Anlon Healthcare|Anlon Healthcare Limited,,INE0Y8W01025,758968,IIFL_SCRIPMASTER
ANMOL,NSE,ANMOL.NS,Anmol India,ANMOL|Anmol India|Anmol India Limited,,INE02AR01019,3727,IIFL_SCRIPMASTER
ANTGRAPHIC,NSE,ANTGRAPHIC.NS,Antarctica,ANTGRAPHIC|Antarctica|Antarctica Limited,,INE414B01021,5194,IIFL_SCRIPMASTER
ANTELOPUS,NSE,ANTELOPUS.NS,Antelopus Selan Enrgy,ANTELOPUS|Antelopus Selan Enrgy|Antelopus Selan Enrgy Limited,,INE818A01017,13598,IIFL_SCRIPMASTER
ANTHEM,NSE,ANTHEM.NS,Anthem Biosciences,ANTHEM|Anthem Biosciences|Anthem Biosciences Limited,,INE0CZ201020,757885,IIFL_SCRIPMASTER
AWHCL,NSE,AWHCL.NS,Antony Waste Hdg Cell,AWHCL|Antony Waste Hdg Cell|Antony Waste Hdg Cell Limited,,INE01BK01022,1797,IIFL_SCRIPMASTER
ANUHPHR,NSE,ANUHPHR.NS,Anuh Pharma,ANUHPHR|Anuh Pharma|Anuh Pharma Limited,,INE489G01022,28314,IIFL_SCRIPMASTER
ANURAS,NSE,ANURAS.NS,Anupam Rasayan India,ANURAS|Anupam Rasayan India|Anupam Rasayan India Limited,,INE930P01018,2829,IIFL_SCRIPMASTER
AONEGOLD,NSE,AONEGOLD.NS,Aoneamc - Aonegold,AONEGOLD|Aoneamc - Aonegold,,INF1J2R01114,758904,IIFL_SCRIPMASTER
AONELIQUID,NSE,AONELIQUID.NS,Aoneamc - Aoneliquid,AONELIQUID|Aoneamc - Aoneliquid,,INF1J2R01056,30472,IIFL_SCRIPMASTER
AONENIFTY,NSE,AONENIFTY.NS,Aoneamc - Aonenifty,AONENIFTY|Aoneamc - Aonenifty,,INF1J2R01064,757096,IIFL_SCRIPMASTER
